gh_username,company,twitter,location
Bright-Phiri,@malawi-revenue-auth,,"Lilongwe, Malawi"
dominickasanga,No Company,,"Mzuzu, Malawi"
Bernard411,Wavetech Malawi,,lilongwe malawi
petroskayange,@kuunika @lukeinternational @egpafmalawihis @hismalawi<br/>@doxdevops<br/><br/>,,Malawi
Sam-Banankhu,Pandas,,Malawi
flyBoy667,Logic Fly,,Bamako-Mali
sudoping01,....,,Bamako
Abbv75,Horizonfuture,,"Bamako, telecel GBS"
AbduRahmanS,@doninya,AbduRahmanSb,Bamako
ibrahimkelly,Thl Technologies,ibrahimkelly99,Mali
kdiawara96,No Company,karimdiawara96,"JX4X+QX9, Bamako"
MrSakine,No Company,mr_sakine,Mali
yacouba01,Thl Technologies,riyuk_1,Mali
AmadouDiadie95,Doninya Inc.,,Bamako-Mali
Alhoussen,No Company,,"Bamako, Mali"
rgaudin,Yɛlɛman,,"Bamako, Mali"
IvinoDev,No Company,,"Mali, Bamako"
Pelpav,No Company,elpav2022,Bamako
bahamasangare,No Company,,MALI
geekdjenika,@thltechnologies,geekdjenika,Bamako
Plasm05280,No Company,,Bamako
mandjou-dama,No Company,Mandjou_JS,"Bamako, Mali"
Dayifour,No Company,Dayifour,"Bamako, Mali"
elvirasng,No Company,,Mali Lošinj
fadiga,Fad Global Services,ibfadiga,"Bamako, Mali"
medsabbar,@ibtikar-technologie,,"Nouakchott, Mauritania"
oumarhadrami,No Company,mohamed_hadramy,"Nouakchott, Mauritania"
OussamaTeyib,No Company,,"Nouakchott, Mauritania"
iyehah,No Company,iyehah,Nouakchott
BechirAhmed,No Company,,"Nouakchott, Mauritania"
hkairi,No Company,_hkairi,Nouakchott | Dakar | Casablanca | Paris
babasahi,Hrflow.ai,BabeSalehDahi,"Nouakchott, Mauritania"
mohamdi,No Company,,Mauritania
bechir,@neo-tic,,Mauritania
demanhamed,@ajbarly,,"Nouakchott, Mauritanina"
SheikhElMoctarG,No Company,SheikhElMoctar,Mauritania
Kader198,Smart Ms,MaguisKader,MAURITANIA
khalef-khalil,No Company,,Mauritania
myeljoud,Next Technology,myeljoud,"Nouakchott, Mauritania"
SidA7MD,Supnum,,Nouakchott
ahmed-abdat,Rimecode,,mauritania nouakchott
ghalass,No Company,,Mauritania
MedAb94,Joujou Services,,Nouakchott
LhacenMed,No Company,,"Nouakchott, Mauritania"
HarounaTraore,D-xperts,,Nouakchott
nyashaChiza,Endframe,,"Port Louis, Mauritius"
zfir,@sharinpix @spoonconsulting @zfir-dev <br/>,zafirsk_,Mauritius
mathews-chiza,Accenture,,"Quatre Bornes, Mauritius"
martinratinaud,Nice Coder,martinratinaud,"Tamarin, Mauritius"
youhackme,No Company,,Mauritius
DJoyekurun,No Company,,Mauritius
k3ii,@ringierimu,,Mauritius
w1am,No Company,,Mauritius
BghinC,@the-ring-io & @mobiten,bghinc,Mauritius
